DATE,NY,T_WA
2016-10-21,57.16666666666666,57.16666666666666
2016-10-22,59.111111111111114,59.111111111111114
2016-10-23,47.88235294117647,47.88235294117647
2016-10-24,49.411764705882355,49.411764705882355
2016-10-25,48.529411764705884,48.529411764705884
2016-10-26,43.235294117647065,43.235294117647065
2016-10-27,39.058823529411775,39.058823529411775
2016-10-28,41.0,41.0
2016-10-29,42.76470588235294,42.76470588235294
2016-10-30,48.88235294117647,48.88235294117647
2016-10-31,54.235294117647065,54.235294117647065
2016-11-01,41.8235294117647,41.8235294117647
2016-11-02,44.82352941176471,44.82352941176471
2016-11-03,58.17647058823529,58.17647058823529
2016-11-04,57.0625,57.0625
2016-11-05,45.70588235294117,45.70588235294117
2016-11-06,48.411764705882355,48.411764705882355
2016-11-07,44.88235294117647,44.88235294117647
2016-11-08,43.352941176470594,43.352941176470594
2016-11-09,48.764705882352935,48.764705882352935
2016-11-10,46.11764705882353,46.11764705882353
2016-11-11,44.29411764705883,44.29411764705883
2016-11-12,47.235294117647065,47.235294117647065
2016-11-13,39.29411764705883,39.29411764705883
2016-11-14,47.764705882352935,47.764705882352935
2016-11-15,47.058823529411775,47.058823529411775
2016-11-16,47.0,47.0
2016-11-17,47.70588235294117,47.70588235294117
2016-11-18,47.17647058823529,47.17647058823529
2016-11-19,49.17647058823529,49.17647058823529
2016-11-20,49.235294117647065,49.235294117647065
2016-11-21,36.647058823529406,36.647058823529406
2016-11-22,32.5,32.5
2016-11-23,34.77777777777778,34.77777777777778
2016-11-24,33.5,33.5
2016-11-25,37.72222222222222,37.72222222222222
2016-11-26,43.611111111111114,43.611111111111114
2016-11-27,40.888888888888886,40.888888888888886
2016-11-28,38.555555555555564,38.555555555555564
2016-11-29,38.055555555555564,38.055555555555564
2016-11-30,46.764705882352935,46.764705882352935
2016-12-01,49.235294117647065,49.235294117647065
2016-12-02,46.77777777777778,46.77777777777778
2016-12-03,41.66666666666666,41.66666666666666
2016-12-04,39.555555555555564,39.555555555555564
2016-12-05,34.27777777777778,34.27777777777778
2016-12-06,36.66666666666666,36.66666666666666
2016-12-07,36.055555555555564,36.055555555555564
2016-12-08,38.444444444444436,38.444444444444436
2016-12-09,35.27777777777778,35.27777777777778
2016-12-10,29.33333333333333,29.33333333333333
2016-12-11,25.470588235294123,25.470588235294123
2016-12-12,26.0,26.0
2016-12-13,35.833333333333336,35.833333333333336
2016-12-14,33.77777777777778,33.77777777777778
2016-12-15,30.722222222222218,30.722222222222218
2016-12-16,21.93333333333333,21.93333333333333
2016-12-17,19.0,19.0
2016-12-18,27.944444444444446,27.944444444444446
2016-12-19,34.55555555555556,34.55555555555556
2016-12-20,22.5,22.5
2016-12-21,22.38888888888889,22.38888888888889
2016-12-22,31.777777777777782,31.777777777777782
2016-12-23,35.833333333333336,35.833333333333336
2016-12-24,36.944444444444436,36.944444444444436
2016-12-25,38.555555555555564,38.555555555555564
2016-12-26,33.44444444444444,33.44444444444444
2016-12-27,34.333333333333336,34.333333333333336
2016-12-28,43.944444444444436,43.944444444444436
2016-12-29,31.83333333333333,31.83333333333333
2016-12-30,32.611111111111114,32.611111111111114
2016-12-31,32.0,32.0
2017-01-01,33.416666666666664,33.416666666666664
2017-01-02,36.083333333333336,36.083333333333336
2017-01-03,33.083333333333336,33.083333333333336
2017-01-04,39.333333333333336,39.333333333333336
2017-01-05,39.25,39.25
2017-01-06,28.33333333333333,28.33333333333333
2017-01-07,24.08333333333333,24.08333333333333
2017-01-08,19.416666666666668,19.416666666666668
2017-01-09,17.818181818181817,17.818181818181817
2017-01-10,16.75,16.75
2017-01-11,27.58333333333333,27.58333333333333
2017-01-12,43.83333333333334,43.83333333333334
2017-01-13,49.91666666666666,49.91666666666666
2017-01-14,39.083333333333336,39.083333333333336
2017-01-15,25.91666666666667,25.91666666666667
2017-01-16,29.08333333333333,29.08333333333333
2017-01-17,30.08333333333333,30.08333333333333
2017-01-18,35.25,35.25
2017-01-19,38.16666666666666,38.16666666666666
2017-01-20,40.25,40.25
2017-01-21,39.91666666666666,39.91666666666666
2017-01-22,44.16666666666666,44.16666666666666
2017-01-23,44.75,44.75
