DATE,FL,T_WA
2017-06-07,75.89750000000002,75.89750000000002
2017-06-08,76.34,76.34
2017-06-09,76.8875,76.8875
2017-06-10,79.08250000000002,79.08250000000002
2017-06-11,80.215,80.215
2017-06-12,79.1875,79.1875
2017-06-13,78.84500000000001,78.84500000000001
2017-06-14,78.84916666666669,78.84916666666669
2017-06-15,78.33583333333334,78.33583333333334
2017-06-16,78.58000000000001,78.58000000000001
2017-06-17,80.38500000000002,80.38500000000002
2017-06-18,81.3025,81.3025
2017-06-19,79.30000000000003,79.30000000000003
2017-06-20,80.51250000000002,80.51250000000002
2017-06-21,82.1175,82.1175
2017-06-22,82.8275,82.8275
2017-06-23,83.20750000000002,83.20750000000002
2017-06-24,83.2775,83.2775
2017-06-25,82.50571428571429,82.50571428571429
2017-06-26,81.88499999999998,81.88499999999998
2017-06-27,80.5075,80.5075
2017-06-28,80.38642857142858,80.38642857142858
2017-06-29,81.88250000000002,81.88250000000002
2017-06-30,85.61399999999999,85.61399999999999
2017-07-01,83.3725,83.3725
2017-07-02,83.92750000000002,83.92750000000002
2017-07-03,84.12,84.12
2017-07-04,83.70500000000001,83.70500000000001
2017-07-05,84.21714285714286,84.21714285714286
2017-07-06,83.5,83.5
2017-07-07,83.82000000000002,83.82000000000002
2017-07-08,82.455,82.455
2017-07-09,81.8525,81.8525
2017-07-10,81.10476190476193,81.10476190476193
2017-07-11,81.77000000000002,81.77000000000002
2017-07-12,81.66749999999998,81.66749999999998
2017-07-13,82.5575,82.5575
2017-07-14,82.25999999999998,82.25999999999998
2017-07-15,82.69,82.69
2017-07-16,81.08833333333331,81.08833333333331
2017-07-17,81.11500000000002,81.11500000000002
2017-07-18,80.6825,80.6825
2017-07-19,82.0975,82.0975
2017-07-20,82.275,82.275
2017-07-21,80.96833333333333,80.96833333333333
2017-07-22,80.32000000000002,80.32000000000002
2017-07-23,80.95380952380953,80.95380952380953
2017-07-24,83.1575,83.1575
2017-07-25,84.6416666666667,84.6416666666667
2017-07-26,83.63,83.63
2017-07-27,83.71190476190478,83.71190476190478
2017-07-28,83.17583333333333,83.17583333333333
2017-07-29,83.5275,83.5275
2017-07-30,81.52250000000002,81.52250000000002
2017-07-31,79.38750000000002,79.38750000000002
2017-08-01,79.92,79.92
2017-08-02,80.5475,80.5475
2017-08-03,80.78,80.78
2017-08-04,82.29500000000002,82.29500000000002
2017-08-05,82.905,82.905
2017-08-06,82.8375,82.8375
2017-08-07,83.6107142857143,83.6107142857143
2017-08-08,83.685,83.685
2017-08-09,83.49000000000002,83.49000000000002
2017-08-10,82.9925,82.9925
2017-08-11,82.92750000000002,82.92750000000002
2017-08-12,83.0625,83.0625
2017-08-13,82.855,82.855
2017-08-14,83.135,83.135
2017-08-15,83.11904761904762,83.11904761904762
2017-08-16,84.68,84.68
2017-08-17,84.88761904761904,84.88761904761904
2017-08-18,83.59,83.59
2017-08-19,83.6425,83.6425
2017-08-20,82.94190476190477,82.94190476190477
2017-08-21,83.3675,83.3675
2017-08-22,83.98,83.98
2017-08-23,82.805,82.805
2017-08-24,81.95750000000002,81.95750000000002
2017-08-25,80.37750000000003,80.37750000000003
2017-08-26,80.8275,80.8275
2017-08-27,80.57607142857144,80.57607142857144
2017-08-28,79.97999999999998,79.97999999999998
2017-08-29,80.62,80.62
2017-08-30,83.0475,83.0475
2017-08-31,83.795,83.795
2017-09-01,83.03999999999998,83.03999999999998
2017-09-02,79.495,79.495
2017-09-03,80.775,80.775
2017-09-04,81.9975,81.9975
2017-09-05,81.7175,81.7175
2017-09-06,80.6875,80.6875
2017-09-07,80.54,80.54
2017-09-08,81.235,81.235
2017-09-09,79.83214285714286,79.83214285714286
