DATE,CO,ID,MT,NV,OR,UT,WA,WY,T_WA
2015-01-01,16.2,13.75,17.714285714285715,25.85714286,27.88888888888889,16.5,23.588235294117645,,21.194092964399296
2015-01-02,13.0,12.75,25.42857142857143,27.14285714,28.4,20.0,24.470588235294123,13.0,21.462957221643634
2015-01-03,17.733333333333334,14.666666666666664,19.272727272727273,27.57142857,29.363636363636363,16.66666667,27.11111111111111,17.857142857142858,22.9904977963758
2015-01-04,17.105263157894736,18.7,17.0,32.28571429,34.18181818181818,19.75,27.555555555555557,12.25,24.6757851508834
2015-01-05,15.9375,26.0,17.0,34.57142857,40.45454545454545,22.0,35.944444444444436,14.8,28.79072364051792
2015-01-06,26.2,35.5,25.5,42.0,44.54545454545455,28.25,43.111111111111114,22.9,36.2817263927519
2015-01-07,31.7,34.6,32.285714285714285,46.57142857,42.45454545454545,32.75,42.0,27.54545454545455,38.1575752405256
2015-01-08,26.65,33.2,20.222222222222218,48.42857143,41.54545454545455,34.0,38.66666666666666,20.09090909090909,35.657559540492954
2015-01-09,32.8,28.33333333333333,17.0,46.71428571,39.45454545454545,33.0,37.27777777777778,21.90909090909091,35.527443324589186
2015-01-10,25.73684210526316,27.5,16.4,45.0,39.81818181818182,31.75,36.66666666666666,18.2,33.42729009888374
2015-01-11,32.25,28.5,23.0,46.71428571,40.36363636363637,32.5,37.944444444444436,24.9,35.98812389878275
2015-01-12,33.1,32.1,25.11111111111111,44.57142857,41.36363636363637,37.75,38.333333333333336,26.818181818181817,37.16360598773094
2015-01-13,28.05,31.5,26.142857142857146,43.42857143,43.36363636363637,36.0,38.333333333333336,21.454545454545453,35.960822108611865
2015-01-14,27.45,26.9,18.63636363636364,40.85714286,41.36363636363637,34.75,36.888888888888886,17.6,34.00959842976686
2015-01-15,27.35,24.33333333333333,20.76923076923077,38.85714286,38.54545454545455,30.5,36.055555555555564,20.714285714285715,32.578055466240315
2015-01-16,29.8,23.1,24.76923076923077,39.28571429,39.36363636363637,30.25,36.333333333333336,25.285714285714285,33.49012159651956
