DATE,AR,IL,IN,IA,LA,MI,MN,MS,MO,WI,T_WA
2015-04-29,62.15000000000001,54.014,54.24125,58.0775,63.83,50.2390625,51.23428571428572,61.595,59.99,48.7625,54.99811447617836
2015-04-30,65.255,50.4815,51.53,55.95125,67.98499999999999,48.678125,52.289375,63.09499999999999,60.47937500000001,47.2625,54.143625534571186
2015-05-01,63.47749999999999,53.663000000000004,55.18625,55.0625,70.5875,55.4646875,53.99375000000001,62.42750000000001,59.264375,53.225,56.96525059036019
2015-05-02,65.88499999999999,63.8195,61.0925,61.81249999999999,71.9075,58.8059375,63.280625,61.865,64.270625,64.07,63.23457288044973
2015-05-03,70.13428571428571,67.9025,65.90267857142857,67.20125,71.23249999999999,65.46968749999999,63.3875,66.20750000000001,70.73375,66.38214285714287,67.24876464962007
2015-05-04,71.50999999999998,66.758,67.38125,64.1075,72.2525,62.86156250000001,55.59125,69.5375,71.555,62.99,65.9289204174815
2015-05-05,72.7475,58.973,67.0775,61.48625,74.96,53.7884375,56.001875,70.655,71.301875,52.595,61.985849049891996
2015-05-06,74.525,64.3235,69.00125,65.93,74.9975,58.724375,57.824375,70.91,71.38625,55.93250000000001,64.95669450580984
2015-05-07,72.68,71.34800000000001,73.101875,67.73,76.25,68.196875,62.774375000000006,73.7,71.67875000000002,67.1,70.22401165856874
2015-05-08,70.4975,69.2105,73.03437500000003,61.62125,77.36,69.35,50.106875,74.075,67.91,69.7925,68.34039653111876
2015-05-09,67.3475,61.31128571428572,68.21053571428571,58.99249999999999,78.92,61.43535714285714,48.806964285714294,74.12,65.950625,56.07142857142857,63.05523530790297
2015-05-10,65.61500000000001,55.55750000000001,69.906875,62.285,79.22,56.598125,47.553125,75.56,68.140625,48.6575,60.82195874738979
2015-05-11,64.1525,61.25450000000001,68.07875,51.8675,74.3675,56.7640625,44.538125,73.6925,60.693125,55.79,60.41003731418291
2015-05-12,61.25,53.114,56.249375,51.8225,74.33,49.7721875,43.334375,70.89500000000002,58.139375,49.77500000000001,55.02239497871548
2015-05-13,60.35,51.1925,55.023125,56.37875,74.05250000000002,47.93000000000001,45.910625,71.29249999999998,60.46250000000001,46.6625,54.548866967946736
2015-05-14,70.03142857142858,56.102,58.08875000000001,56.55875,77.69749999999998,51.972767857142856,49.505,72.11,63.95,50.6,58.44746515077074
2015-05-15,74.795,67.8965,67.96625,63.91625,76.5275,56.6346875,54.224375,72.725,71.31312500000001,59.8175,65.38907262626391
2015-05-16,76.7525,71.17699999999999,69.29375,69.74375,79.07000000000002,62.841875,59.78187499999999,73.32499999999997,72.561875,61.0625,68.62409629619489
2015-05-17,72.77,74.43950000000002,72.31437500000001,69.74375,79.57249999999998,68.4725,60.9575,75.05000000000003,71.46312499999998,66.55250000000001,71.01292801368854
2015-05-18,74.86250000000003,67.01899999999999,72.58598214285716,51.78874999999999,76.27250000000002,70.7365625,42.51875,71.9975,68.93375,63.26000000000001,66.35685906078801
2015-05-19,72.5,49.919,54.775625,46.92875,76.2125,47.4265625,43.835,74.00750000000002,56.3675,47.1275,54.02261199244329
2015-05-20,67.7525,46.04,48.65000000000001,47.1875,79.51249999999997,46.383125,51.119375,75.0875,52.84625,45.95,52.654661931975774
2015-05-21,61.4975,56.2055,52.71125000000001,56.705,73.205,53.560625,56.440625,66.7025,54.60124999999999,56.765,57.400035010283155
2015-05-22,59.0225,61.7855,59.88312500000001,60.56375,70.295,52.6803125,58.42625,62.69749999999999,59.781875,54.05,59.31889289729
2015-05-23,67.2575,67.28450000000001,65.9975,63.17375,77.12,58.28,63.53937500000001,71.3675,65.95249999999999,62.2325,65.43416593316915
2015-05-24,67.86500000000001,67.9325,70.76750000000001,63.196250000000006,76.72999999999998,64.2171875,61.7225,75.3425,68.59625,59.3825,67.09443393757697
2015-05-25,69.64250000000001,73.2065,73.38875,69.1925,77.5925,67.769375,60.5975,73.0325,71.47062500000001,67.5875,70.39179009450525
2015-05-26,71.105,71.339,71.920625,64.68125,74.8775,70.5565625,59.691875,73.01750000000001,70.570625,67.89500000000001,69.7824665008621
2015-05-27,75.12285714285716,68.84857142857143,70.28857142857143,64.58,74.79714285714286,66.51875000000001,62.6,73.94571428571426,71.00214285714287,65.26285714285714,68.71396351251275
2015-05-28,71.1275,71.41550000000002,70.98687500000003,69.24875,78.66499999999998,66.33500000000001,62.65625,75.39000000000001,71.043125,70.3025,70.19875408247148
2015-05-29,70.76750000000001,74.03,74.71625,68.92250000000001,79.36250000000003,69.3640625,60.591875,75.845,69.83375000000001,69.4325,71.29829142981667
2015-05-30,69.7325,62.1185,71.77437499999998,59.36,77.50999999999998,61.16,50.466875,74.66749999999998,66.228125,56.33,63.83619267402362
2015-05-31,68.6075,52.4165,57.565625,56.615,75.95,50.2728125,49.420625,70.58,59.568125,49.31,56.491852876732075
2015-06-01,72.36500000000002,56.15600000000001,57.014375,60.2375,76.13749999999997,53.841875,54.46625,71.78,60.63125,52.43,59.11862612245454
2015-06-02,73.4675,60.54350000000001,59.881517857142846,63.5,77.06750000000002,56.66562500000001,60.215,71.5325,64.585625,56.7125,62.44053128455146
2015-06-03,76.37,66.9425,62.53812500000001,68.68625,79.34,62.4509375,61.581875,70.83500000000002,66.925625,62.9225,66.52992933498405
2015-06-04,78.035,73.12100000000001,68.905625,71.645,80.5775,65.4884375,62.76875,73.16750000000002,71.121875,70.1225,70.69058876885813
2015-06-05,79.6325,68.52199999999999,72.438125,73.5125,80.72,64.7346875,62.6675,75.995,74.766875,61.94,69.89972257071739
2015-06-06,81.8825,65.3765,69.63125,69.6875,81.935,59.5709375,60.6425,77.555,75.014375,58.67,67.6911864983121
2015-06-07,82.2425,71.6495,72.84312499999999,73.28750000000002,82.75678571428571,61.7421875,67.510625,79.78999999999998,80.9375,69.08,72.32057116351282
2015-06-08,83.5025,73.652,70.06437500000001,73.07375,82.835,67.09156250000001,67.27437499999999,78.995,77.2475,68.975,72.92309564811792
2015-06-09,81.005,74.39,70.64937499999998,77.43875,79.7225,64.34468749999999,71.50437500000002,77.53999999999998,78.58625,70.7225,73.17873041927494
2015-06-10,82.2425,81.1535,77.93937500000001,79.61,81.0875,70.69718750000001,68.09,77.9075,81.62375,76.535,77.28280074087418
2015-06-11,83.3675,71.8655,78.321875,66.61625000000001,80.8775,63.9978125,62.28500000000001,77.57749999999999,81.32,60.14,71.49800856601065
2015-06-12,83.525,66.6815,76.58375000000002,63.99500000000001,79.04,61.23875,64.79375,74.7875,78.22062500000001,59.315,69.20703248023861
2015-06-13,79.4975,71.4065,77.57375,68.01125,78.995,61.8575,64.81625,76.43,75.39687500000002,61.115,70.37817742810005
2015-06-14,78.9575,76.1225,77.58125000000003,73.56875,81.245,68.86625000000001,68.511875,78.23,76.386875,70.28,74.3560599786475
2015-06-15,80.15,75.28999999999998,77.7125,71.99375,81.0275,70.73375,66.11000000000001,78.8525,75.93125,70.1525,74.21411447515035
2015-06-16,76.32500000000002,70.8125,74.795,68.61875,81.0125,68.140625,59.6975,81.605,74.4575,65.13499999999999,71.07585653101708
2015-06-17,78.80000000000003,67.71199999999999,73.5575,72.005,82.67000000000002,68.10125,65.5775,83.68,75.965,67.53999999999999,71.74106176358661
2015-06-18,74.88500000000002,73.751,75.1325,70.30625,81.035,67.7103125,64.011875,82.1375,74.35062500000002,69.755,72.53097321027809
