DATE,KS,NE,ND,OK,SD,T_WA
2015-01-01,22.049375,15.64,24.8075,28.25375,21.453125,23.36274465487397
2015-01-02,27.6575,20.645000000000003,28.175,34.05875,24.524375,28.5556697949555
2015-01-03,30.48125,18.1325,5.172499999999996,38.2325,15.108124999999998,27.98370666680843
2015-01-04,11.22125,2.202499999999993,-8.117500000000009,25.6325,-2.948124999999997,12.398752350698668
2015-01-05,16.154375,11.6375,-7.067500000000003,27.55625,-3.876249999999999,16.24648008716811
2015-01-06,22.330625,14.652499999999995,-2.177500000000002,33.8675,-2.4193750000000023,21.39548190614447
2015-01-07,13.926875,5.630000000000003,-4.060000000000001,23.3375,-5.108125000000001,13.031439304947156
2015-01-08,22.37,19.0475,8.495000000000001,20.62625,10.518125,19.079965092103805
2015-01-09,20.62625,9.634999999999994,-0.8725000000000023,26.825,1.1862500000000011,17.725739186223986
2015-01-10,26.009375,18.275,-0.782500000000006,27.5675,4.943749999999998,21.431147974570713
2015-01-11,29.82875,17.869999999999994,5.7575,34.8575,8.650624999999998,25.971502783917558
2015-01-12,23.4275,12.417499999999995,-5.912500000000001,33.3725,-0.9456250000000068,20.95256608633291
2015-01-13,18.123125,11.202499999999995,4.362500000000002,27.2975,0.29749999999999943,17.803491164568737
2015-01-14,29.065625,22.6325,19.175,31.98875,18.258125,27.345686509201055
2015-01-15,33.54125,29.09,27.77,41.61875,26.51,34.75961057123467
2015-01-16,41.534375,36.1625,23.585,45.1175,22.7975,39.001956135672174
2015-01-17,45.404375,41.6675,35.675,48.83,34.165625,44.3489780536514
2015-01-18,42.434375,37.31,28.76,50.57375,33.5525,42.81867578659692
2015-01-19,45.618125,38.36,33.6575,53.70125,34.9925,45.56356047444872
2015-01-20,41.365625,36.1725,31.0625,49.05500000000001,33.09125,41.864063869730934
2015-01-21,36.33125,33.1175,22.8875,41.79875,27.5225,36.08059724179427
2015-01-22,33.288125,29.1575,23.795,43.37375,25.750625,35.01188645090272
2015-01-23,33.423125,32.1125,35.7575,37.1525,32.016875,34.64369017908726
2015-01-24,43.43,38.405,33.9125,44.76875,34.61,41.56626914609353
2015-01-25,45.033125,38.9975,32.525,51.56375,31.76375,44.353340779415106
2015-01-26,45.336875,42.74,38.2775,47.5475,37.259375,44.49473524150656
2015-01-27,48.01839285714286,38.7025,33.305,54.758750000000006,32.500625,46.45977212809093
2015-01-28,52.818125,44.1725,32.315,60.9575,35.4425,51.333823372248965
2015-01-29,43.14875,38.06,24.92,50.81,29.42375,42.61659644702142
2015-01-30,31.62875,29.7625,24.9725,39.5375,25.835,33.301886017528346
2015-01-31,36.59,33.23,14.704999999999998,43.025,24.02375,35.74503533552972
2015-02-01,25.356875,15.965,-1.9224999999999997,39.3125,6.524374999999999,25.31911643337208
2015-02-02,17.015,9.29,7.205000000000003,24.00125,2.0187500000000007,16.245600864151015
2015-02-03,35.54375,26.225,9.162499999999998,39.36875,11.800625,31.333834687882906
2015-02-04,25.581875,17.1425,0.8374999999999986,38.57,8.172500000000003,25.659408171588073
2015-02-05,20.8175,13.1675,13.932499999999996,27.815,10.70375,20.692795968684237
2015-02-06,42.231875,37.8575,23.12,42.78875,26.763125,38.930188705506744
2015-02-07,50.39375,44.9375,27.92,53.633750000000006,32.770625,47.48018494345598
2015-02-08,54.71375,45.89,23.5475,57.36875000000001,31.83125,49.8764333498319
2015-02-09,41.9675,36.635,20.345,52.01375,27.17375,41.95528917115904
2015-02-10,39.29,40.1,24.8675,49.26875,32.70875,41.60925494555091
2015-02-11,36.910625,31.9625,7.962500000000002,44.42,17.5325,35.08688974274199
2015-02-12,25.379375,19.79,5.0825,34.6775,5.675000000000002,24.717373611958152
2015-02-13,37.65875,36.11,22.34,44.375,22.375625,37.50431163853762
2015-02-14,39.335,27.245,3.1999999999999997,52.0475,9.84875,36.779710764376
2015-02-15,19.731875,19.572500000000005,12.275,36.5,11.682499999999996,24.825839793663327
2015-02-16,24.366875,26.795,18.6275,26.69,20.271875,24.930730233667425
2015-02-17,27.944375,20.99,2.1424999999999947,31.96625,10.281875,24.80354889282206
2015-02-18,21.145625,13.527499999999995,-0.9549999999999984,30.97625,1.6812499999999986,20.198533542327382
2015-02-19,24.130625,18.65,10.827499999999995,32.5625,7.368124999999999,23.919746115513654
2015-02-20,29.91875,30.695,26.99,39.48125,26.31392857142857,33.16416661011816
2015-02-21,38.451875,29.035,8.112499999999997,43.57625,17.729374999999994,34.68282461259548
2015-02-22,21.318125,13.752499999999998,-7.540000000000006,32.3375,0.8712499999999928,20.254933870431312
2015-02-23,15.642499999999998,13.047499999999996,11.8175,22.06625,11.974999999999998,17.004940495491805
2015-02-24,28.416875,32.915,26.4575,29.19875,32.3375,29.734430370617794
2015-02-25,35.448125,30.9875,9.267499999999998,38.13125,14.404999999999998,31.94822821677526
2015-02-26,17.62410714285714,8.787499999999998,-2.0242857142857176,27.773214285714282,-3.077500000000001,16.646149754439243
2015-02-27,12.115624999999998,8.780000000000001,2.922500000000003,19.02875,-0.214375000000004,12.401614892432256
2015-02-28,17.104999999999997,16.82,13.204999999999998,23.135,13.668125,18.759965026682035
2015-03-01,25.4975,26.105,14.18,30.18875,16.840625,25.828103495194526
2015-03-02,28.413125,29.45,19.475,31.7975,18.06125,28.358426968111676
2015-03-03,37.694375,27.65,12.259999999999998,46.34,19.52375,35.716000631110774
2015-03-04,25.503125,18.6725,-1.1449999999999958,31.775,3.2562499999999983,22.787319293829526
2015-03-05,25.7,18.0425,14.11,28.56875,6.018124999999998,22.857780264050874
2015-03-06,41.83892857142857,39.305,29.42,39.80750000000001,28.045625,38.52776710228088
2015-03-07,51.265625,42.7625,37.04,48.83,35.538125,46.40116425065785
2015-03-08,50.35437500000001,42.935,37.16,52.655,40.341875,48.04261393237078
2015-03-09,47.148125,43.6175,43.085,48.0425,43.5425,46.23181309450089
