DATE,NY,T_WA
2015-08-27,65.99107142857143,65.99107142857143
2015-08-28,66.17428571428572,66.17428571428572
2015-08-29,69.24392857142857,69.24392857142857
2015-08-30,73.03357142857143,73.03357142857143
2015-08-31,75.61464285714284,75.61464285714284
2015-09-01,74.93321428571429,74.93321428571429
2015-09-02,75.27071428571429,75.27071428571429
2015-09-03,76.56010204081633,76.56010204081633
2015-09-04,74.82392857142858,74.82392857142858
2015-09-05,73.59928571428571,73.59928571428571
2015-09-06,74.45107142857144,74.45107142857144
2015-09-07,77.81,77.81
2015-09-08,79.98928571428571,79.98928571428571
2015-09-09,76.8907142857143,76.8907142857143
2015-09-10,68.53678571428571,68.53678571428571
2015-09-11,67.85857142857144,67.85857142857144
2015-09-12,64.9817857142857,64.9817857142857
2015-09-13,61.84464285714286,61.84464285714286
2015-09-14,62.36535714285714,62.365357142857135
2015-09-15,67.42464285714286,67.42464285714286
2015-09-16,70.34642857142856,70.34642857142856
2015-09-17,71.34928571428571,71.34928571428571
2015-09-18,71.6225,71.6225
2015-09-19,71.11785714285716,71.11785714285716
2015-09-20,62.728571428571435,62.72857142857144
2015-09-21,58.05178571428571,58.0517857142857
2015-09-22,61.54571428571428,61.54571428571428
2015-09-23,62.45857142857143,62.458571428571425
2015-09-24,65.2357142857143,65.2357142857143
2015-09-25,63.58035714285714,63.58035714285714
2015-09-26,61.449285714285715,61.44928571428571
2015-09-27,62.12428571428572,62.12428571428572
2015-09-28,66.90071428571429,66.90071428571429
2015-09-29,70.31107142857144,70.31107142857144
2015-09-30,60.819285714285705,60.819285714285705
2015-10-01,52.75464285714286,52.75464285714286
2015-10-02,49.18448979591837,49.18448979591837
2015-10-03,49.451428571428565,49.451428571428565
2015-10-04,54.149642857142865,54.149642857142865
2015-10-05,54.30714285714286,54.30714285714286
2015-10-06,58.263928571428565,58.26392857142856
2015-10-07,60.17,60.17000000000001
2015-10-08,56.99428571428571,56.9942857142857
2015-10-09,60.21178571428571,60.21178571428571
2015-10-10,51.30499999999999,51.30499999999999
2015-10-11,56.512142857142855,56.512142857142855
2015-10-12,63.14,63.14
2015-10-13,61.23714285714286,61.23714285714285
2015-10-14,55.36464285714285,55.36464285714285
2015-10-15,52.36816326530612,52.36816326530612
2015-10-16,51.542857142857144,51.542857142857144
2015-10-17,42.51714285714286,42.51714285714286
2015-10-18,37.846785714285716,37.846785714285716
2015-10-19,42.49785714285714,42.49785714285714
2015-10-20,56.86892857142857,56.86892857142857
2015-10-21,58.93250000000001,58.93250000000001
2015-10-22,59.32785714285714,59.32785714285714
2015-10-23,46.972142857142856,46.972142857142856
2015-10-24,46.65714285714286,46.65714285714286
2015-10-25,52.957908163265294,52.957908163265294
2015-10-26,44.71571428571429,44.71571428571429
2015-10-27,44.51642857142856,44.51642857142856
2015-10-28,53.111428571428576,53.111428571428576
2015-10-29,57.286785714285706,57.286785714285706
2015-10-30,47.258214285714295,47.258214285714295
2015-10-31,43.278928571428565,43.278928571428565
2015-11-01,54.905,54.905
2015-11-02,52.66464285714286,52.66464285714286
2015-11-03,56.181071428571435,56.181071428571435
2015-11-04,57.59857142857143,57.59857142857144
2015-11-05,62.46821428571428,62.46821428571429
2015-11-06,64.84035714285716,64.84035714285716
2015-11-07,53.06,53.06
2015-11-08,45.44214285714286,45.44214285714286
2015-11-09,44.48107142857143,44.48107142857143
2015-11-10,50.51428571428572,50.51428571428572
2015-11-11,50.591428571428565,50.591428571428565
2015-11-12,52.25,52.25
2015-11-13,48.87821428571429,48.87821428571429
2015-11-14,40.64964285714286,40.64964285714286
2015-11-15,46.67964285714285,46.67964285714285
2015-11-16,49.88428571428571,49.88428571428571
2015-11-17,42.06071428571428,42.06071428571428
2015-11-18,49.893928571428575,49.893928571428575
2015-11-19,59.27,59.27
2015-11-20,46.75035714285714,46.75035714285714
2015-11-21,41.244285714285716,41.244285714285716
2015-11-22,43.01535714285714,43.01535714285714
2015-11-23,32.82928571428572,32.82928571428572
2015-11-24,35.14678571428571,35.14678571428571
2015-11-25,38.8625,38.8625
2015-11-26,48.68214285714286,48.68214285714286
2015-11-27,55.19107142857143,55.19107142857143
