DATE,NC,SC,T_WA
2015-01-01,37.371875,42.6875,39.1221459222342
2015-01-02,46.529375,51.41,48.13641387498259
2015-01-03,47.22125,53.195,49.188221131653684
2015-01-04,54.98375,62.99000000000001,57.61996052484659
2015-01-05,42.1925,47.6375,43.98537010870128
2015-01-06,37.473125,43.8725,39.58024128133522
2015-01-07,29.4575,38.465,32.423391185330914
2015-01-08,16.716875,23.15,18.8351041125875
2015-01-09,30.588125,35.5175,32.211215742346994
2015-01-10,28.135625,35.7575,30.645272724473383
2015-01-11,32.331875,38.915,34.49949447370875
2015-01-12,40.9775,47.4575,43.1111636004379
2015-01-13,39.981875,46.625,42.16925061815724
2015-01-14,33.018125,38.705,34.89063706600929
2015-01-15,34.345625,40.7075,36.44039369105491
2015-01-16,39.84125,44.27,41.299500412104834
2015-01-17,39.29,44.21,40.91000384477692
2015-01-18,46.61937500000001,51.2525,48.144919779132536
2015-01-19,45.815,49.7975,47.12631408776912
2015-01-20,50.410625,53.5775,51.45337899917234
2015-01-21,47.2775,54.665,49.70997528522145
2015-01-22,43.574375,49.19,45.423426644476706
2015-01-23,37.77125,47.585,41.00261437635761
2015-01-24,38.868125,47.78,41.802529830116114
2015-01-25,41.0225,43.82,41.94363023491127
2015-01-26,41.28125,47.405,43.297611492774934
2015-01-27,34.626875,39.6725,36.28824327221596
2015-01-28,33.45125,38.315,35.052732459356456
2015-01-29,36.381875,41.3675,38.02348712776746
2015-01-30,39.90875,48.17,42.6289241387527
2015-01-31,34.565,39.95,36.338113964252784
2015-02-01,44.285,50.39,46.29518769763477
2015-02-02,45.75875,52.6475,48.02700233449329
2015-02-03,32.466875,36.68,33.854126767993044
2015-02-04,38.541875,42.1025,39.71427869711561
2015-02-05,39.093125,46.0775,41.392863689708086
2015-02-06,30.7625,36.2975,32.58500432537404
2015-02-07,41.916875,44.8625,42.88677821651849
2015-02-08,51.60125,55.04,52.7335240287046
2015-02-09,52.63249999999999,55.7,53.6425328849295
2015-02-10,42.0125,50.5325,44.81787251168686
2015-02-11,39.39125,45.2975,41.33599546914912
2015-02-12,37.6925,45.5,40.263268296360934
2015-02-13,27.258125,33.845,29.426979232736777
2015-02-14,35.594375,42.07250000000001,37.72742122092388
2015-02-15,22.038125,35.7875,26.565368976276346
2015-02-16,23.703125,35.135,27.46728789695307
2015-02-17,26.96,37.6925,30.493880338225257
2015-02-18,26.886875,36.8375,30.16330808088075
2015-02-19,14.978749999999998,25.34,18.390389194450165
2015-02-20,16.334375,24.7175,19.094678807163717
2015-02-21,30.385625,42.83,34.4831728345215
2015-02-22,44.436875,54.63500000000001,47.79480217673082
2015-02-23,40.758125,51.77,44.383994885813586
2015-02-24,27.213125,34.2725,29.53755887026871
2015-02-25,31.83125,36.4175,33.341360291282136
2015-02-26,33.480178571428574,38.95785714285713,35.283808723088406
2015-02-27,33.648125,41.705,36.301004771725005
2015-02-28,31.285625,41.285,34.57810994824516
2015-03-01,34.739375,39.7475,36.38839568193565
2015-03-02,46.805,55.2425,49.58320781307017
2015-03-03,41.039375,51.47,44.473857236468746
2015-03-04,56.913125,61.7075,58.491764417337876
2015-03-05,47.834375,62.9975,52.827123129844104
2015-03-06,30.678125,39.95,33.73106669680711
2015-03-07,38.80625,44.2625,40.602824385785375
2015-03-08,50.264375,53.2925,51.261442915135184
2015-03-09,55.040000000000006,59.8775,56.63283914616023
2015-03-10,60.44562500000001,64.505,61.782251647843765
2015-03-11,63.10625,69.66499999999999,65.26584354002655
2015-03-12,57.68375,63.7175,59.67047727610218
2015-03-13,47.78375,54.49249999999999,49.992733901147794
