DATE,CA,T_WA
2018-05-12,62.75375,62.75375
2018-05-13,62.61500000000001,62.61500000000001
2018-05-14,63.55625000000001,63.556250000000006
2018-05-15,62.93625,62.93625
2018-05-16,62.05625000000001,62.056250000000006
2018-05-17,63.62000000000001,63.620000000000005
2018-05-18,65.98625000000001,65.98625000000001
2018-05-19,65.24875,65.24875
2018-05-20,62.8725,62.8725
2018-05-21,62.84375,62.84375
2018-05-22,64.9425,64.9425
2018-05-23,64.86375,64.86375
2018-05-24,63.9875,63.987500000000004
2018-05-25,59.8625,59.862500000000004
2018-05-26,61.89125,61.89125000000001
2018-05-27,66.15125,66.15125
2018-05-28,68.74625,68.74625
2018-05-29,70.725,70.725
2018-05-30,66.42500000000001,66.42500000000001
2018-05-31,62.27374999999999,62.27375
2018-06-01,66.34625,66.34625
2018-06-02,72.92375,72.92375
2018-06-03,74.5925,74.5925
2018-06-04,72.41749999999998,72.41749999999998
2018-06-05,69.29249999999999,69.29249999999999
2018-06-06,67.24625,67.24625
2018-06-07,67.385,67.385
2018-06-08,70.50874999999998,70.50874999999998
2018-06-09,67.285,67.285
2018-06-10,66.77375,66.77375
2018-06-11,71.6275,71.6275
2018-06-12,74.99375,74.99375
2018-06-13,75.71375,75.71375
2018-06-14,73.76375,73.76375
2018-06-15,71.10875000000001,71.10875000000001
2018-06-16,66.97625000000001,66.97625000000001
2018-06-17,64.32875,64.32875
2018-06-18,68.34125,68.34125
2018-06-19,72.35374999999998,72.35374999999998
2018-06-20,73.34,73.34
2018-06-21,73.60625000000002,73.60625000000002
2018-06-22,75.42875000000002,75.42875000000002
2018-06-23,76.4825,76.4825
2018-06-24,76.37374999999999,76.37374999999999
2018-06-25,73.1225,73.1225
2018-06-26,74.57000000000002,74.57000000000002
2018-06-27,73.14250000000001,73.14250000000001
2018-06-28,71.75750000000002,71.75750000000002
2018-06-29,73.6175,73.6175
2018-06-30,76.355,76.355
2018-07-01,77.55125000000002,77.55125000000002
2018-07-02,73.0325,73.0325
2018-07-03,73.535,73.535
2018-07-04,71.58875,71.58875
