DATE,AZ,NM,T_WA
2015-01-01,31.16666666666667,19.866666666666667,28.639435964582756
2015-01-02,26.33333333333333,25.785714285714285,26.210859026236975
2015-01-03,27.66666666666667,26.42857142857143,27.389768233231433
2015-01-04,29.83333333333333,29.142857142857146,29.67890920699445
2015-01-05,35.166666666666664,30.8,34.19006719182008
2015-01-06,41.0,36.53333333333333,40.001035651683644
2015-01-07,44.66666666666666,41.93333333333333,44.05536012515964
2015-01-08,48.5,37.57142857142857,46.05583882794666
2015-01-09,47.66666666666666,35.666666666666664,44.98288185029437
2015-01-10,47.0,34.06666666666667,44.10747636457653
2015-01-11,47.83333333333334,37.07142857142857,45.42644695039628
2015-01-12,49.66666666666666,42.6,48.086215608136314
2015-01-13,48.5,38.285714285714285,46.215587924159294
2015-01-14,46.33333333333334,33.07142857142857,43.36732511365205
2015-01-15,45.5,34.07692307692308,42.94524329979945
2015-01-16,45.66666666666666,38.46666666666667,44.05639577684328
2015-01-17,45.83333333333334,41.0,44.75236444896117
2015-01-18,46.5,44.0,45.940878163255775
2015-01-19,48.66666666666666,45.2,47.891351053048
2015-01-20,49.33333333333334,49.26666666666666,49.31842341768682
2015-01-21,47.33333333333334,45.86666666666667,47.005315189110064
2015-01-22,46.66666666666666,38.142857142857146,44.76032745186253
2015-01-23,40.0,28.5,37.42803955097655
2015-01-24,40.0,28.266666666666666,37.375854846213755
2015-01-25,46.16666666666666,36.46666666666667,43.997273940099056
2015-01-26,48.83333333333334,40.66666666666666,47.006868666635526
2015-01-27,50.33333333333334,45.06666666666667,49.155449997258835
2015-01-28,52.33333333333334,50.06666666666667,51.82639620135191
2015-01-29,49.83333333333334,52.0,50.317905591845005
2015-01-30,52.33333333333334,46.8,51.095810334672784
2015-01-31,47.16666666666666,39.0,45.34020199996885
2015-02-01,48.16666666666666,40.92857142857143,46.547875825045274
2015-02-02,47.83333333333334,41.2,46.349796726505325
2015-02-03,49.16666666666666,43.28571428571429,47.85139910784929
2015-02-04,51.66666666666666,46.66666666666666,50.54842299317821
2015-02-05,54.16666666666666,49.78571428571429,53.186872209895824
2015-02-06,55.66666666666666,45.86666666666667,53.47490906662929
2015-02-07,56.0,50.93333333333333,54.86684641086503
2015-02-08,55.33333333333334,55.0,55.25878375510078
2015-02-09,56.83333333333334,56.4,56.736418881631
2015-02-10,57.5,54.6,56.85141866937669
2015-02-11,55.66666666666666,54.06666666666667,55.30882869115036
2015-02-12,53.16666666666666,43.85714285714285,51.08460344602863
2015-02-13,51.5,42.6,49.509526261190544
2015-02-14,53.83333333333334,46.86666666666667,52.27524714827276
2015-02-15,56.83333333333334,49.64285714285714,55.22519243145946
2015-02-16,58.16666666666666,52.0,56.78749946936423
2015-02-17,53.0,42.4,50.62932341220448
2015-02-18,48.66666666666666,39.53846153846154,46.62515513968261
2015-02-19,51.33333333333334,44.73333333333333,49.857251684328574
2015-02-20,53.83333333333334,51.06666666666667,53.21457183400306
2015-02-21,56.16666666666666,53.53333333333333,55.57772499862941
2015-02-22,54.66666666666666,49.2,53.44405358365262
2015-02-23,51.16666666666666,41.0,48.89290453057347
2015-02-24,46.16666666666666,27.6,42.014255159112864
2015-02-25,43.66666666666666,34.57142857142857,41.63252817489242
2015-02-26,46.33333333333334,42.42857142857143,45.46003827403759
2015-02-27,49.16666666666666,36.714285714285715,46.381707422693026
2015-02-28,46.66666666666666,27.23076923076923,42.3198527974141
2015-03-01,49.66666666666666,33.0,45.939187755038475
2015-03-02,50.16666666666666,45.07142857142857,49.02712311368319
2015-03-03,47.83333333333334,45.35714285714285,47.279536466462865
2015-03-04,45.0,46.35714285714285,45.30352328280401
2015-03-05,44.16666666666666,37.0,42.56385073466654
2015-03-06,46.0,34.53333333333333,43.435494508799806
2015-03-07,50.0,40.86666666666667,47.95734155642776
2015-03-08,53.33333333333334,45.2,51.51432362445878
2015-03-09,51.8,50.46666666666667,51.50180168706974
2015-03-10,52.2,49.92857142857143,51.69199787404382
2015-03-11,55.5,49.35714285714285,54.126157772571325
2015-03-12,57.16666666666666,51.8,55.96641845712238
2015-03-13,61.5,51.86666666666667,59.345517189078905
2015-03-14,60.33333333333334,53.4,58.78270210609601
2015-03-15,61.0,52.53333333333333,59.106440712892876
2015-03-16,61.33333333333334,50.26666666666666,58.858287336012225
2015-03-17,62.66666666666666,54.93333333333333,60.93711645167119
2015-03-18,62.5,52.30769230769231,60.220503280965836
2015-03-19,65.2,54.08333333333334,62.71377156594401
2015-03-20,58.0,53.5,56.99358069386039
2015-03-21,58.0,50.85714285714285,56.402509037873635
2015-03-22,59.33333333333334,51.92307692307693,57.67603886339404
2015-03-23,61.33333333333334,57.2,60.40891856324955
2015-03-24,61.33333333333334,58.8,60.766756538765854
2015-03-25,59.33333333333334,58.33333333333334,59.10968459863565
2015-03-26,59.66666666666666,55.33333333333334,58.69752214964334
2015-03-27,59.66666666666666,49.07142857142857,57.29705507284589
2015-03-28,62.83333333333334,55.73333333333333,61.24542731697973
2015-03-29,65.66666666666667,62.33333333333334,64.92117088434104
2015-03-30,66.5,62.26666666666666,65.55322035644643
2015-03-31,67.83333333333333,63.06666666666667,66.76727436460766
2015-04-01,66.5,62.33333333333334,65.56813027209296
2015-04-02,66.0,62.0,65.10540506120924
2015-04-03,61.16666666666666,62.13333333333333,61.38286044354109
2015-04-04,55.0,52.6,54.46324303672554
2015-04-05,58.16666666666666,51.33333333333334,56.6384003128991
2015-04-06,61.66666666666666,59.6,61.20445928162477
2015-04-07,60.33333333333334,61.93333333333333,60.69117130884965
