DATE,AR,IL,IN,IA,LA,MI,MN,MS,MO,WI,T_WA
2020-01-01,41.79166666666666,31.5,32.714285714285715,25.66666666666667,48.875,29.0,17.333333333333332,45.66666666666666,37.117647058823536,20.944444444444443,31.696096443647896
2020-01-02,41.41666666666666,35.375,37.142857142857146,31.6,49.33333333333334,28.578947368421048,21.9,45.111111111111114,41.76470588235294,24.055555555555557,34.413196786959155
2020-01-03,50.41666666666666,43.625,44.714285714285715,38.93333333333333,60.444444444444436,38.0,31.5,58.66666666666666,46.411764705882355,37.555555555555564,43.51298954406298
2020-01-04,49.16666666666666,38.25,42.857142857142854,32.86666666666667,59.77777777777778,35.89473684210526,27.1,58.0,41.352941176470594,32.388888888888886,39.966576029367744
2020-01-05,41.75,30.0,35.285714285714285,27.66666666666667,52.444444444444436,31.0,24.9,46.77777777777778,35.70588235294117,27.16666666666667,33.58131955377584
2020-01-06,46.70833333333334,36.125,36.42857142857143,33.86666666666667,53.555555555555564,31.47368421052632,29.7,48.555555555555564,42.0,31.16666666666667,37.26641121729971
2020-01-07,44.91666666666666,33.875,35.857142857142854,29.86666666666667,59.444444444444436,31.36842105263158,26.8,54.88888888888889,36.941176470588225,31.277777777777782,36.411508695092266
2020-01-08,45.125,34.375,34.857142857142854,28.0,52.77777777777778,29.63157894736842,17.22222222222222,48.111111111111114,40.117647058823536,25.88888888888889,34.10740185204053
2020-01-09,46.58333333333334,27.0,29.857142857142854,18.8,51.0,21.0,12.0,48.111111111111114,40.0,15.461538461538463,28.562011476769143
2020-01-10,54.56,42.25,39.142857142857146,39.8,61.66666666666666,29.78947368421053,25.8,54.77777777777778,52.17647058823529,32.333333333333336,40.967190624688314
2020-01-11,62.29166666666666,48.25,51.85714285714285,25.66666666666667,70.25,40.631578947368425,19.2,66.875,45.82352941176471,30.38888888888889,44.86625983082049
2020-01-12,46.125,36.875,48.14285714285714,19.285714285714285,59.111111111111114,31.157894736842106,14.0,60.33333333333334,29.35294117647059,22.64705882352941,35.33446600139992
2020-01-13,36.375,28.75,34.285714285714285,20.33333333333333,50.555555555555564,22.0,15.0,50.111111111111114,27.64705882352941,19.0,28.588330994879616
2020-01-14,41.458333333333336,34.75,36.285714285714285,29.066666666666666,58.33333333333334,27.73684210526316,21.66666666666667,56.22222222222222,35.529411764705884,25.722222222222218,34.660933872535516
2020-01-15,49.54166666666666,37.5,38.42857142857143,26.8,69.1111111111111,33.31578947368421,21.11111111111111,66.0,42.882352941176464,28.555555555555557,38.93689429059115
