DATE,AL,GA,T_WA
2015-01-01,40.46153846153846,43.73333333333333,42.69972591676424
2015-01-02,43.07692307692307,45.06666666666667,44.43807783025788
2015-01-03,49.384615384615394,50.13333333333333,49.896802482519725
2015-01-04,60.384615384615394,57.73333333333333,58.57091175710484
2015-01-05,54.384615384615394,59.13333333333333,57.63314451241958
2015-01-06,40.0,44.33333333333334,42.96437053239153
2015-01-07,41.615384615384606,44.0,43.246665440901836
2015-01-08,29.84615384615385,35.4,33.645459510745575
2015-01-09,22.69230769230769,24.33333333333333,23.814909550728142
2015-01-10,30.538461538461537,33.8,32.76963273207219
2015-01-11,34.53846153846154,37.333333333333336,36.45039282858388
2015-01-12,42.46153846153846,40.46666666666667,41.0968755773961
2015-01-13,51.230769230769226,46.73333333333333,48.15413851253567
2015-01-14,45.0,47.73333333333333,46.869833720431565
2015-01-15,39.846153846153854,41.6,41.045934582340706
2015-01-16,36.846153846153854,38.86666666666667,38.22835738433403
2015-01-17,42.153846153846146,44.46666666666667,43.73601314805748
2015-01-18,45.769230769230774,45.0,45.24301114809618
2015-01-19,47.846153846153854,49.4,48.909117480845715
2015-01-20,49.153846153846146,49.06666666666667,49.09420793011756
2015-01-21,51.53846153846154,52.46666666666667,52.173433214630606
2015-01-22,50.92307692307693,53.46666666666667,52.663109803628636
2015-01-23,46.615384615384606,49.06666666666667,48.29227114140017
2015-01-24,45.615384615384606,49.06666666666667,47.97635664887513
2015-01-25,41.769230769230774,46.33333333333334,44.89146718796267
2015-01-26,46.153846153846146,45.66666666666666,45.820573727127574
2015-01-27,42.16666666666666,43.26666666666666,42.91916072488912
2015-01-28,45.30769230769231,42.86666666666667,43.637822043291884
2015-01-29,44.46153846153846,42.333333333333336,43.005664176399435
2015-01-30,50.92307692307693,44.8,46.7343687388456
2015-01-31,45.0,47.13333333333333,46.45938241594659
2015-02-01,43.769230769230774,41.93333333333333,42.513319940122884
2015-02-02,52.615384615384606,50.13333333333333,50.91744930452367
2015-02-03,42.333333333333336,46.13333333333333,44.932858261738204
2015-02-04,37.307692307692314,38.73333333333333,38.28295267219508
2015-02-05,41.46153846153846,42.4,42.10352639932266
2015-02-06,41.16666666666666,46.0,44.47307995279566
2015-02-07,39.91666666666666,38.86666666666667,39.19837688381795
2015-02-08,52.30769230769231,46.13333333333333,48.08390281538534
2015-02-09,55.75,52.06666666666667,53.23028504746722
2015-02-10,54.846153846153854,56.66666666666666,56.091540282839034
2015-02-11,42.0,48.26666666666666,46.28693584684311
2015-02-12,45.230769230769226,47.53333333333333,46.80591996336543
2015-02-13,39.846153846153854,44.26666666666666,42.87016260227394
2015-02-14,35.384615384615394,36.06666666666667,35.85119678202139
2015-02-15,44.384615384615394,43.6,43.847871371058105
2015-02-16,37.583333333333336,39.73333333333333,39.05411717440451
2015-02-17,44.66666666666666,42.333333333333336,43.07046714922508
2015-02-18,33.083333333333336,41.285714285714285,38.694463269645844
2015-02-19,32.833333333333336,35.266666666666666,34.49794140152241
2015-02-20,25.58333333333333,25.4,25.45791765696292
2015-02-21,30.33333333333333,27.8,28.600316714396754
2015-02-22,50.54545454545455,45.6,47.1623407630329
2015-02-23,52.53846153846154,55.13333333333333,54.31357572708888
2015-02-24,41.92307692307692,50.33333333333334,47.67641144748176
2015-02-25,38.692307692307686,40.0,39.58688104823649
2015-02-26,35.92307692307692,38.4,37.617504103130294
2015-02-27,35.846153846153854,40.73333333333333,39.18940250576226
2015-02-28,37.615384615384606,42.66666666666666,41.070893460835066
2015-03-01,45.92307692307693,44.0,44.60752787024045
2015-03-02,50.384615384615394,43.46666666666667,45.65214692521166
2015-03-03,52.69230769230769,57.6,56.04958887514637
2015-03-04,61.153846153846146,58.06666666666667,59.04195140769268
2015-03-05,65.53846153846153,65.13333333333334,65.26131920466399
2015-03-06,42.0,56.33333333333334,51.80522560714117
2015-03-07,35.46153846153846,42.333333333333336,40.162433743674114
2015-03-08,45.0,46.86666666666667,46.27695961395327
2015-03-09,50.53846153846154,52.46666666666667,51.857518722105574
2015-03-10,56.53846153846154,59.86666666666667,58.815238432570524
2015-03-11,66.23076923076923,67.4,67.03062305489381
2015-03-12,65.30769230769229,67.4,66.73900967717839
2015-03-13,64.46153846153847,64.46666666666667,64.46504659234603
2015-03-14,58.615384615384606,54.93333333333333,56.09654669555371
2015-03-15,62.384615384615394,62.0,62.12150557404809
2015-03-16,64.23076923076923,65.4,65.03062305489381
2015-03-17,63.30769230769231,63.6,63.507655763723456
2015-03-18,67.83333333333333,67.13333333333334,67.35447347810086
2015-03-19,66.23076923076923,64.13333333333334,64.79594373047559
