DATE,TX,T_WA
2015-01-01,33.45455882352941,33.45455882352941
2015-01-02,37.9889705882353,37.9889705882353
2015-01-03,43.18514705882353,43.18514705882353
2015-01-04,38.95647058823529,38.95647058823529
2015-01-05,37.819558823529405,37.819558823529405
2015-01-06,45.660147058823526,45.660147058823526
2015-01-07,40.315735294117644,40.315735294117644
2015-01-08,32.06970588235294,32.06970588235294
2015-01-09,35.99441176470588,35.99441176470588
2015-01-10,34.506764705882354,34.506764705882354
2015-01-11,41.88676470588236,41.88676470588236
2015-01-12,41.3864705882353,41.3864705882353
2015-01-13,36.82823529411765,36.82823529411765
2015-01-14,37.9889705882353,37.9889705882353
2015-01-15,43.546470588235294,43.546470588235294
2015-01-16,45.38088235294118,45.38088235294118
2015-01-17,51.50220588235293,51.50220588235293
2015-01-18,52.48823529411764,52.48823529411764
2015-01-19,54.27235294117647,54.27235294117647
2015-01-20,54.498676470588244,54.498676470588244
2015-01-21,50.80338235294118,50.80338235294118
2015-01-22,44.488823529411775,44.488823529411775
2015-01-23,40.184705882352944,40.184705882352944
2015-01-24,43.823088235294115,43.823088235294115
2015-01-25,50.45132352941177,50.45132352941177
2015-01-26,52.824411764705886,52.824411764705886
2015-01-27,57.757205882352935,57.75720588235293
2015-01-28,59.59382352941177,59.593823529411765
2015-01-29,58.05632352941177,58.05632352941177
2015-01-30,50.80735294117648,50.80735294117648
2015-01-31,50.74514705882354,50.745147058823534
2015-02-01,55.99426470588236,55.99426470588235
2015-02-02,41.67367647058824,41.67367647058824
2015-02-03,44.49941176470589,44.49941176470589
2015-02-04,47.918088235294114,47.918088235294114
2015-02-05,41.54926470588235,41.54926470588235
2015-02-06,47.74470588235293,47.74470588235293
2015-02-07,56.407394957983186,56.407394957983186
2015-02-08,62.327794117647066,62.327794117647066
2015-02-09,61.98720588235293,61.98720588235293
2015-02-10,61.570294117647066,61.570294117647066
2015-02-11,57.0795588235294,57.0795588235294
2015-02-12,50.63661764705883,50.63661764705883
2015-02-13,53.23073529411765,53.23073529411765
2015-02-14,59.00529411764707,59.00529411764707
2015-02-15,60.53264705882353,60.53264705882353
2015-02-16,47.33044117647057,47.33044117647058
2015-02-17,42.0125,42.0125
2015-02-18,45.998970588235295,45.998970588235295
2015-02-19,51.70470588235293,51.704705882352926
2015-02-20,61.973088235294135,61.973088235294135
2015-02-21,61.77411764705883,61.77411764705883
2015-02-22,50.45794117647059,50.457941176470584
2015-02-23,31.25617647058824,31.25617647058824
2015-02-24,33.16338235294118,33.16338235294118
2015-02-25,44.86073529411765,44.86073529411765
2015-02-26,40.05537815126051,40.05537815126051
2015-02-27,31.9735294117647,31.973529411764705
2015-02-28,33.56,33.56
2015-03-01,40.94441176470588,40.94441176470588
2015-03-02,41.98735294117647,41.98735294117647
2015-03-03,52.14014705882353,52.14014705882353
2015-03-04,52.390294117647066,52.390294117647066
2015-03-05,36.462941176470586,36.462941176470586
2015-03-06,40.49970588235294,40.49970588235294
2015-03-07,48.31779411764707,48.31779411764707
2015-03-08,52.69338235294118,52.69338235294118
2015-03-09,53.81485294117647,53.81485294117647
2015-03-10,55.72161764705882,55.72161764705882
2015-03-11,55.992941176470595,55.992941176470595
2015-03-12,57.76647058823529,57.76647058823529
2015-03-13,59.53470588235293,59.53470588235293
2015-03-14,60.96922268907564,60.96922268907564
2015-03-15,58.44676470588235,58.44676470588235
2015-03-16,62.08514705882353,62.08514705882353
2015-03-17,63.42852941176471,63.42852941176471
2015-03-18,61.73044117647059,61.73044117647059
2015-03-19,65.74867647058825,65.74867647058825
2015-03-20,61.05279411764707,61.05279411764707
2015-03-21,58.76970588235295,58.76970588235295
2015-03-22,63.79382352941175,63.79382352941175
2015-03-23,65.95117647058822,65.95117647058822
2015-03-24,69.36985294117648,69.36985294117648
2015-03-25,68.25191176470588,68.25191176470588
2015-03-26,59.72,59.72
2015-03-27,59.669705882352936,59.669705882352936
2015-03-28,65.65558823529412,65.65558823529412
2015-03-29,69.75235294117647,69.75235294117647
2015-03-30,68.22897058823528,68.22897058823528
2015-03-31,70.745,70.745
2015-04-01,72.14926470588236,72.14926470588236
2015-04-02,74.37544117647059,74.37544117647059
2015-04-03,69.50088235294118,69.50088235294118
2015-04-04,59.81,59.81
2015-04-05,62.79323529411764,62.79323529411764
2015-04-06,71.65558823529412,71.65558823529412
2015-04-07,72.60058823529413,72.60058823529413
2015-04-28,55.76,55.76
2015-04-29,60.70735294117648,60.70735294117649
2015-04-30,65.35691176470588,65.35691176470588
2015-05-01,68.45264705882354,68.45264705882354
2015-05-02,70.55573529411767,70.55573529411767
2015-05-03,71.97153361344539,71.97153361344539
2015-05-04,72.50970588235295,72.50970588235295
2015-05-05,70.91403361344538,70.91403361344538
2015-05-06,74.70102941176471,74.70102941176471
2015-05-07,74.9975,74.9975
2015-05-08,74.94852941176471,74.94852941176471
2015-05-09,77.10455882352943,77.10455882352943
2015-05-10,74.18258403361345,74.18258403361345
2015-05-11,69.20044117647058,69.20044117647058
2015-05-12,66.22117647058823,66.22117647058823
2015-05-13,68.12573529411765,68.12573529411765
2015-05-14,73.6925,73.6925
2015-05-15,73.54691176470588,73.54691176470588
2015-05-16,75.45411764705884,75.45411764705884
2015-05-17,73.80235294117648,73.80235294117648
2015-05-18,76.56058823529412,76.56058823529412
2015-05-19,76.32632352941178,76.32632352941178
2015-05-20,72.81367647058823,72.81367647058823
2015-05-21,64.82617647058825,64.82617647058825
2015-05-22,67.93779411764707,67.93779411764707
2015-05-23,73.58926470588236,73.58926470588236
