DATE,DE,NJ,OH,VA,WV,T_WA
2015-03-11,45.0,51.0125,41.0225,56.79125,53.549375,48.85523881525879
2015-03-12,53.5,44.2625,37.30625,48.73,46.65232142857143,43.324336752911265
2015-03-13,42.5,35.84750000000001,43.4675,42.9875,47.71625,41.42477917091011
2015-03-14,37.5,46.265,46.26125,50.0075,52.08125,47.32511910063685
2015-03-15,47.0,43.25,40.38125,53.75,48.599375,45.425161869872575
2015-03-16,44.0,41.99,52.925,53.24,55.58562499999999,49.838954260787126
2015-03-17,44.5,49.8425,43.295,58.73,54.26375,49.90670031350478
2015-03-18,53.5,35.3975,34.5575,42.83,36.21875,37.67909895048964
2015-03-19,37.0,33.35,37.21625,41.42375,40.184375,37.425870294545774
2015-03-20,35.0,34.025,39.97625,40.44875,42.794375,38.45073541101527
2015-03-21,35.5,38.5925,44.52125,47.5115,48.45875,43.6156185400791
2015-03-22,43.5,41.0225,31.35125,50.6375,46.023125,40.407402267891634
2015-03-23,42.0,31.64,27.35,42.81125,42.5525,33.9884401960752
2015-03-24,35.5,34.1375,31.805,42.09875,44.841875,36.05761042301614
2015-03-25,35.0,36.1175,45.92,45.383750000000006,57.70625,43.37375826600302
2015-03-26,36.5,51.035,40.565,58.8275,53.645,48.98471997173445
2015-03-27,57.5,43.99250000000001,28.77125,45.155,36.66875,38.72240407160889
2015-03-28,46.0,37.6475,22.4225,34.86875,24.845,30.855007263931352
2015-03-29,33.5,34.25,32.16125,35.1125,32.91125,33.61675369144052
2015-03-30,34.0,44.1275,45.7125,48.9725,48.835625,45.961597317059066
2015-03-31,47.0,43.0475,42.86375,55.2575,52.57625,46.90649094276391
2015-04-01,50.0,42.1025,43.81625,48.41,46.3325,44.89928245902765
2015-04-02,44.0,48.4925,53.7575,53.855,55.36625,52.10872628406832
2015-04-03,49.5,58.6625,50.8775,65.09375,58.454375,57.23806273278135
2015-04-04,62.5,54.5,40.175,56.69750000000001,44.7575,49.531505480392006
2015-04-05,53.5,50.135,49.93250000000001,49.29875,46.270625,49.722305924412005
2015-04-06,49.5,53.8925,51.52625,59.63,55.641875,54.52536365818872
2015-04-07,56.5,57.83,52.49,62.74,60.05,57.270683584896425
2015-04-08,57.0,,,,,57.0
2015-04-09,43.0,,,,,43.0
2015-04-10,42.0,,,,,42.0
2015-04-11,54.0,,,,,54.0
2015-04-12,53.0,,,,,53.0
2015-04-13,50.5,,,,,50.5
2015-04-14,57.5,,,,,57.5
2015-04-15,57.0,,,,,57.0
2015-04-16,57.5,,,,,57.5
2015-04-17,57.0,,,,,57.0
2015-04-18,64.0,,,,,64.0
2015-04-19,66.0,,,,,66.0
2015-04-20,57.0,,,,,57.0
2015-04-21,67.5,,,,,67.5
2015-04-22,58.5,,,,,58.5
2015-04-23,57.5,,,,,57.5
2015-04-24,48.0,,,,,48.0
2015-04-25,47.0,,,,,47.0
2015-04-26,43.0,,,,,43.0
2015-04-27,51.5,,,,,51.5
2015-04-28,50.0,,49.01,50.540000000000006,50.45,49.73221310730984
2015-04-29,59.0,63.27500000000001,52.99625,59.26625,54.51125,57.808417047948836
2015-04-30,60.5,55.5125,49.30625000000001,57.67625,51.738125,53.75600307969088
2015-05-01,61.0,51.755,56.435,54.00875,51.9575,54.36874843106425
2015-05-02,52.0,52.88,60.21125000000001,57.4925,56.165000000000006,56.96173781018691
2015-05-03,57.5,60.62,64.46375,64.00785714285715,59.81,62.796071398586086
2015-05-04,64.0,69.64250000000001,66.76625000000001,67.85,65.10875,67.68031097083181
2015-05-05,67.5,72.905,63.95375,71.00125,67.89875,68.66574207002101
2015-05-06,73.0,66.38,65.8025,68.53999999999999,68.93375,67.09249892921751
2015-05-07,68.0,62.51000000000001,71.19875,66.45124999999999,69.816875,67.33058764844591
2015-05-08,65.0,66.1175,75.26,67.58000000000001,71.36937499999998,70.12326869633733
