DATE,MEAN_T
2020-01-01,39.75
2020-01-02,32.5
2020-01-03,35.25
2020-01-04,43.0
2020-01-05,45.0
2020-01-06,36.25
2020-01-07,38.0
2020-01-08,35.75
2020-01-09,34.0
2020-01-10,26.75
2020-01-11,39.0
2020-01-12,55.25
2020-01-13,53.333333333333336
2020-01-14,37.5
2020-01-15,37.75
2020-01-16,44.0
2020-01-17,39.75
2020-01-18,25.0
2020-01-19,25.5
2020-01-20,33.5
2020-01-21,24.75
2020-01-22,24.0
2020-01-23,27.25
2020-01-24,31.0
2020-01-25,39.75
2020-01-26,41.5
2020-01-27,38.75
2020-01-28,38.75
2020-01-29,38.5
2020-01-30,32.5
2020-01-31,27.25
2020-02-01,32.75
2020-02-02,38.75
2020-02-03,37.5
2020-02-04,45.25
2020-02-05,47.25
2020-02-06,42.5
2020-02-07,37.5
2020-02-08,43.0
2020-02-09,33.25
2020-02-10,33.0
2020-02-11,41.25
2020-02-12,44.25
2020-02-13,40.0
2020-02-14,39.0
2020-02-15,26.5
2020-02-16,20.25
2020-02-17,35.0
2020-02-18,40.0
2020-02-19,41.75
2020-02-20,38.0
2020-02-21,28.75
2020-02-22,26.5
2020-02-23,35.5
2020-02-24,39.25
2020-02-25,44.25
2020-02-26,46.75
2020-02-27,45.5
2020-02-28,37.5
2020-02-29,33.5
2020-03-01,29.5
2020-03-02,32.75
2020-03-03,45.0
2020-03-04,52.25
2020-03-05,48.0
2020-03-06,43.0
2020-03-07,36.5
2020-03-08,39.25
2020-03-09,42.75
2020-03-10,52.5
2020-03-11,54.5
2020-03-12,47.0
2020-03-13,42.25
2020-03-14,58.0
2020-03-15,47.0
2020-03-16,44.25
2020-03-17,37.25
2020-03-18,46.5
2020-03-19,44.5
2020-03-20,44.5
2020-03-21,60.75
2020-03-22,47.75
2020-03-23,38.0
2020-03-24,37.0
2020-03-25,44.5
2020-03-26,41.0
2020-03-27,44.5
2020-03-28,55.5
2020-03-29,44.75
2020-03-30,46.75
2020-03-31,49.25
2020-04-01,43.5
2020-04-02,46.25
2020-04-03,47.25
2020-04-04,50.25
2020-04-05,53.25
2020-04-06,54.5
2020-04-07,55.0
2020-04-08,54.5
2020-04-09,56.25
2020-04-10,49.75
2020-04-11,42.0
2020-04-12,44.5
2020-04-13,49.25
2020-04-14,60.666666666666664
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
